,Accuracy,Precision,Recall,F1 Score
Dataset 1,0.9666666666666667,0.9681159420289855,0.9666666666666667,0.9637037037037037
Dataset 2,0.95,1.0,0.95,0.9666666666666666
Dataset 3,0.31507936507936507,0.2923493698978231,0.31507936507936507,0.2979662949036041
Dataset 4,0.8372549019607843,0.8395772087392708,0.8372549019607843,0.8371601902787508
Dataset 5,0.5223214285714286,0.5111079449510301,0.5223214285714286,0.5627811436475073
